word,shosai_wadaipot.txt,youkyu_wadaipot.txt,youkyu_wadaipot.txt-shosai_wadaipot.txt
会社,0,2,2
Howlong,0,2,2
暮らし,0,2,2
健康,0,2,2
実施,4,6,2
バッテリー,0,2,2
他社,0,2,2
工程,0,2,2
いつ,0,2,2
単純,0,2,2
Howmuch,0,2,2
山小屋,0,2,2
アクティビティ,1,3,2
家庭,0,2,2
レスポンス,0,2,2
病気,0,2,2
やつ,0,2,2
視覚,0,2,2
発電,0,2,2
空間,0,2,2
不具合,0,2,2
cofc,0,2,2
who,0,2,2
what,0,2,2
why,0,2,2
自宅,0,2,2
関東,0,2,2
考え方,0,2,2
安全,11,13,2
聴覚,0,2,2
ヘビー,0,2,2
大雨,0,2,2
大雪,0,2,2
性質,0,2,2
容量,0,2,2
where,0,2,2
寝たきり,0,2,2
一人暮らし,0,2,2
頻度,0,2,2
携帯,0,2,2
構造,0,2,2
パフォーマンス,7,9,2
夜中,0,2,2
エコ,0,2,2
復旧,0,2,2
whom,0,2,2
補足,0,2,2
Howspec,0,2,2
セッション,0,2,2
白湯,0,2,2
立ち,0,2,2
非常時,0,2,2
残り,0,2,2
関西,0,2,2
期間,0,2,2
下位,0,2,2
以外,0,2,2
コンビニ,0,2,2
洪水,0,2,2
レイヤー,0,2,2
早朝,0,2,2
成人,0,2,2
乾燥,0,2,2
炭酸,0,2,2
電池,0,2,2
属性,0,2,2
家事,0,2,2
自分,0,2,2
定義,0,2,2
品質,0,2,2
すえ付け,0,2,2
方法,0,2,2
or,0,2,2
勝手,0,2,2
改造,0,2,2
フィードバック,0,2,2
わかりやすさ,0,2,2
異常,0,2,2
when,0,2,2
コーヒー,0,2,2
海外,0,2,2
言語,0,2,2
段階,0,1,1
判定,0,1,1
取り外し,0,1,1
赤道,0,1,1
安価,0,1,1
硬水,1,2,1
クロージングパネル,0,1,1
拠り所,0,1,1
空電,0,1,1
マインド,0,1,1
流れ,0,1,1
宇宙,0,1,1
好み,0,1,1
ブラックボックス,0,1,1
1015,1,2,1
FTA,0,1,1
ロックーロック,0,1,1
はく,0,1,1
スーパー,0,1,1
位置,1,2,1
外部,0,1,1
ファミレス,0,1,1
北極,0,1,1
形状,0,1,1
店員,0,1,1
南極,0,1,1
妥当,0,1,1
インプット,0,1,1
VSTeP,0,1,1
無線,0,1,1
予想,0,1,1
マネジメント,0,1,1
左利き,0,1,1
正月,0,1,1
女性,0,1,1
たくさん,1,2,1
康晴,0,1,1
大丈夫,0,1,1
限定,0,1,1
29,0,1,1
日本人,0,1,1
用語,0,1,1
GOMA,0,1,1
FMEA,0,1,1
一連,0,1,1
軟水,1,2,1
意味,0,1,1
問屋,0,1,1
子供,1,2,1
出所,0,1,1
サーミスタ,1,2,1
秋山,1,2,1
表示,21,22,1
